feature,coef
Distributor_IDP/Goldwyn/Roadside,-54134.68617631386
Distributor_IDP/Samuel Goldwyn Films,-45367.86481444033
Distributor_IFC Films,-96263.27696366468
Distributor_IFC First Take,-94674.7585158752
Distributor_IFC Midnight,-429625.4508893521
Distributor_IM Global/Blumhouse,0.0
Distributor_IMAX Films,-74568.33038875653
Distributor_Icarus Films,163240.73108150403
Distributor_Icon Film Distribution,-206093.06578299883
Distributor_Image Entertainment,-391461.61907032086
Distributor_Imaginasian,-5357.228149187446
Distributor_Indican Pictures,-345432.7310254038
Distributor_Indomina Releasing,-201995.08339164226
Distributor_Informant Media,0.0
Distributor_Innovation Film Group,-416176.817004851
Distributor_Insurgent Media,-2792.8333703110857
Distributor_InterPositive Media,-149522.69142737272
Distributor_International Film Circuit,15592.874104046909
Distributor_Iron Man Distr,-392608.72854065674
Distributor_JSC Entertainment,-857093.856116104
Distributor_Janus Films,153136.41229713976
Distributor_JeTi Films,-552937.2325948669
Distributor_Joule Films,-295515.4083671899
Distributor_Jour de Fete,0.0
Distributor_Kaleidoscope Pictures,-181870.9943032063
Distributor_Kenn Viselman Presents,-394793.206386284
Distributor_Ketchup Entertainment,-129206.58855128424
Distributor_Kindred Media Group,-264767.2141203617
Distributor_Kino Classics,0.0
Distributor_Kino International,-109238.15682694987
Distributor_Kino Lorber,97495.99036546431
Distributor_Kino/Emerging,93046.2307143454
Distributor_Koch Lorber Films,64599.96259436336
Distributor_Kristin Marie Productions,0.0
Distributor_LD Distribution,111171.58374490419
Distributor_LD Entertainment,35530.6110165621
Distributor_Laemmle/Zeller Film,110507.16616961012
Distributor_Lafayette Films,0.0
Distributor_Lambert Releasing,-312985.6213883497
Distributor_Landmark Theaters,0.0
Distributor_Lantern Lane Entertainment,-743267.8059994514
Distributor_Laufer Films,7583.727014122519
Distributor_Lavender House Films,36323.806762595275
Distributor_Le Petit Canyon Productions,0.0
"Distributor_Left of Center Entertainment, LLc",0.0
Distributor_Leisure Time Features,-21842.263552327386
Distributor_Liberation Entertainment,33497.86167832485
"Distributor_Libero, LLC",144640.71817993245
Distributor_Liberty Street Films,68750.97248596867
